genetic,length,mass,exercise,smoking,alcohol,sugar,lifespan,bmi
82.5,179.0,122.9,1.2,11.6,5.7,7.6,77.5,38.3571049592709
72.6,159.0,105.5,2.2,18.5,5.6,9.9,64.8674157303371,41.7309441873344
89.4,189.0,63.7,1.8,2.8,2.3,5.9,87.9,17.8326474622771
76.6,184.0,56.9,2.4,3.4,4.6,5.1,75.5,16.8064744801512
78.1,201.0,87.1,3.5,2.4,4.9,8.5,79.1,21.558872305141
79.3,169.0,127.7,1.6,16.5,1.5,8.5,72.7,44.7113196316656
95.9183516483517,174.0,103.9,2.4,0.5,5.2,10.7,95.4674157303371,34.3176113092879
81.9,162.0,87.9,1.8,18.5,5.1,11.0,80.3,33.493369913123
74.0,176.0,79.5,3.9,21.7,4.3,8.2,71.5,25.6650309917355
85.5,208.0,129.9,1.2,3.8,4.5,4.0,83.1,30.0249630177515
85.3,204.0,72.9,1.2,0.3,1.5,8.9,85.0,17.5173010380623
94.1,176.0,97.0,3.0,1.8,1.3,5.6,93.6,31.3145661157025
94.2,192.0,98.5,1.2,17.1,2.2,7.9,89.7,26.7198350694444
79.6,177.0,81.3,1.2,13.0,2.0,8.2,76.8,25.9503973953845
91.0,178.0,137.6,3.5,9.6,2.1,8.3,88.9,43.4288599924252
86.4,174.0,99.9,0.9,11.9,4.2,2.3,81.2,32.9964328180737
69.6,177.0,105.5,4.6,20.7,2.9,1.8,64.8674157303371,33.6748699288199
84.1,170.0,70.3,3.9,5.0,0.8,8.1,85.0,24.3252595155709
78.5,177.0,105.8,2.5,13.8,4.4,11.0,73.2,33.7706278527881
93.8,184.0,96.8,3.4,4.0,4.4,4.8,94.4,28.5916824196597
76.6,179.0,123.3,1.6,7.1,0.4,12.4829548229548,73.7,38.4819450079585
86.1,176.0,64.4,2.0,16.4,2.0,3.5,83.0,20.7902892561983
79.7,169.0,58.6,2.0,14.6,2.3,6.5,76.3,20.5174888834425
85.6,189.0,138.9,1.4,10.6,4.5,7.8,80.2,38.8846896783405
83.8,201.0,78.2,1.1,0.2,5.0,4.7,82.9,19.3559565357293
80.9,174.0,56.7,2.0,0.3,2.0,8.1,80.9,18.7277051129608
75.6,200.0,85.4,3.1,8.5,6.0,5.3,74.4,21.35
92.7,188.0,57.0,2.9,3.8,5.0,5.4,91.4,16.1272068809416
81.1,167.0,63.9,1.8,14.0,0.1,11.4,78.8,22.9122593137079
80.2,199.0,82.0,3.8,0.7,2.4,4.2,82.3,20.7065478144491
81.6,179.0,108.7,2.7,21.2,0.2,7.1,80.4,33.9252832308605
84.4,163.0,68.4,2.2,2.8,1.2,7.1,85.0,25.7442884564718
68.6183516483517,169.0,95.7,1.8,7.3,0.3,11.4,65.1,33.5072301390007
85.6,187.0,103.6,2.1,0.2,0.5,3.4,86.6,29.6262403843404
90.0,169.0,77.4,3.6,13.0,1.5,8.3,88.7,27.099891460383
73.6,200.0,53.0,4.4,10.2,0.7,3.6,72.9,13.25
81.6,196.0,74.6,2.9,15.4,4.7,4.5,79.4,19.4189920866306
85.8,171.0,102.8,1.2,2.8,0.9,5.3,84.3,35.1561164118874
81.6,171.0,142.3,1.2,19.7,0.4,8.0,73.6,46.1016058693084
85.3,193.0,86.1,2.8,15.4,5.1,6.7,80.0,23.1147144889796
81.7,197.0,64.2,3.8,13.8,3.3,3.1,80.4,16.5425545620861
84.6,201.0,62.6,3.5,11.4,1.4,3.1,83.0,15.4946659736145
93.2,182.0,95.3,4.0,9.8,4.7,6.0,91.3,28.770679869581
95.9183516483517,179.0,85.5,2.5,10.0,5.7,9.7,95.4674157303371,26.6845604069786
88.3,180.0,92.3,3.0,1.0,2.4,5.2,89.8,28.4876543209876
79.3,168.0,70.0,2.0,17.8,3.9,10.1,75.9,24.8015873015873
72.1,205.0,135.6,3.7,3.0,4.8,6.0,71.4,32.266508030934
95.9183516483517,185.0,74.2,3.7,10.9,4.0,7.4,95.1,21.6800584368152
89.8,186.0,107.1,3.2,10.7,4.8,9.8,88.4,30.9573361082206
80.6,184.0,59.6,2.3,15.4,1.3,1.7,77.0,17.6039697542533
84.3,164.0,105.0,4.3,19.8,4.5,8.0,78.9,39.039262343843
80.6,169.0,68.0,2.7,9.1,4.9,4.9,80.0,23.8086901719128
79.4,178.0,143.3,0.2,13.1,2.1,10.3,71.3,45.2278752682742
89.8,185.0,109.9,1.5,0.5,5.1,8.8,88.0,32.1110299488678
86.6,171.0,115.1,1.3,1.8,0.4,7.1,84.6,39.3625389008584
89.9,173.0,85.6,2.7,21.0,1.7,6.0,86.6,28.6010224197267
90.3,206.0,128.5,2.1,1.4,3.9,7.0,89.8,30.2808935809219
77.8,171.0,111.2,3.9,0.4,5.1,4.9,77.6,38.0287951848432
82.4,166.0,113.1,0.1,18.1,4.7,6.0,74.1,41.0436928436638
85.3,196.0,113.0,2.0,10.7,0.6,7.4,82.5,29.4148271553519
84.7,173.0,105.0,1.5,5.4,4.2,3.9,81.8,35.0830298372816
87.9,210.0,65.3,2.4,11.0,4.2,2.1,84.4,14.8072562358277
75.6,179.0,61.6,2.3,20.3,1.4,4.9,70.6,19.2253674978933
81.1,205.0,61.4,1.2,7.6,4.6,5.2,78.1,14.6103509815586
68.6183516483517,181.0,129.2,2.2,3.0,0.5,10.7,65.4,39.4371356185709
77.2,165.0,61.8,3.1,5.8,5.3,8.0,76.4,22.6997245179063
69.7,170.0,93.4,1.2,11.7,3.8,11.8,65.5,32.318339100346
88.7,177.0,123.3,1.7,11.6,2.1,2.5,85.3,39.3565067509336
73.6,198.0,135.1,2.5,6.1,4.5,8.4,71.9,34.4607693092542
76.8,194.0,66.8,1.8,15.5,0.9,7.8,73.9,17.7489637581039
82.7,178.0,86.9,4.3,0.8,0.5,4.9,86.3,27.4270925388209
84.7,189.0,115.4,2.6,9.6,4.8,8.0,82.8,32.3059264858207
77.1,191.0,54.6,2.1,20.0,0.4,7.1,72.9,14.9666949919136
76.7,173.0,70.9,1.7,11.6,1.3,4.7,74.4,23.6893982425073
95.9183516483517,188.0,129.2,1.8,0.1,4.6,6.9,95.4674157303371,36.5550022634676
76.7,198.0,61.6,1.4,1.2,1.7,4.8,76.8,15.712682379349
76.6,190.0,74.1,1.4,20.6,0.3,6.8,73.0,20.5263157894737
95.9183516483517,179.0,72.1,2.2,11.6,3.1,8.1,95.4674157303371,22.5024187759433
92.7,191.0,68.3,3.5,8.0,1.3,4.7,91.8,18.7220745045366
79.8,193.0,123.0,1.8,18.0,1.7,6.1,76.2,33.0210206985422
76.2,184.0,94.1,1.4,6.5,2.8,7.3,75.8,27.7941871455577
90.2,172.0,76.3,0.2,11.0,3.6,8.5,86.1,25.7909680908599
81.5,198.0,73.1,1.7,16.6,3.9,4.3,76.9,18.6460565248444
79.2,194.0,80.3,3.4,17.5,3.8,9.0,74.9,21.3359549367627
75.8,188.0,115.1,1.8,4.1,3.5,6.8,74.3,32.56564056134
75.6,181.0,87.4,3.4,5.0,4.2,11.3,73.7,26.6780623302097
77.4,210.0,76.6,1.6,2.3,0.1,12.4829548229548,77.3,17.3696145124717
78.9,184.0,85.5,2.9,11.0,0.8,6.1,77.8,25.2540170132325
77.2,177.0,113.9,2.9,21.9,0.6,4.7,75.6,36.3560917999298
89.4,182.0,106.8,1.5,18.7,4.5,11.8,84.0,32.2424827919333
77.3,171.0,88.3,1.6,14.7,0.3,10.6,74.4,30.1973256728566
77.7,184.0,146.0,1.9,1.4,4.5,3.4,76.3,43.1238185255199
88.0,174.0,84.4,3.2,1.9,4.7,5.6,88.7,27.8768661646188
73.5,174.0,142.7,1.7,20.1,3.0,5.2,64.8674157303371,46.1016058693084
74.9,182.0,112.7,4.2,0.2,0.4,10.4,75.0,34.0236686390533
95.9183516483517,191.0,151.330941621886,2.7,17.3,0.5,6.5,92.5,42.4330473397111
86.0,184.0,115.6,0.8,21.6,4.3,8.7,79.0,34.1446124763705
91.8,160.0,92.0,4.7,15.1,0.6,10.1,92.6,35.9375
68.9,192.0,83.0,3.4,6.1,2.6,8.0,68.4,22.5151909722222
81.7,163.0,110.3,1.4,16.8,4.8,3.6,77.3,41.5145470284919
91.7,178.0,70.8,0.9,7.5,1.2,7.0,90.2,22.3456634263351
78.7,173.0,96.5,1.7,8.9,0.4,4.8,75.3,32.2429750409302
69.5,171.0,55.0,4.0,0.6,0.7,7.9,71.1,18.8092062514962
76.3,209.0,82.9,1.5,16.6,0.5,7.1,72.3,18.9785032393947
78.3,169.0,113.5,1.7,0.2,1.0,6.2,77.7,39.7395049192955
86.3,185.0,66.4,2.3,19.1,0.9,10.4,81.1,19.4010226442659
82.2,205.0,94.6,2.8,6.9,5.3,4.4,81.0,22.5104104699584
84.3,177.0,96.1,1.3,9.6,5.3,7.1,80.8,30.6744549778161
73.3,198.0,151.330941621886,1.7,19.4,4.6,7.1,64.8674157303371,40.6846240179574
80.0,176.0,74.3,4.95212454212454,5.0,1.5,5.6,81.8,23.9863119834711
79.5,198.0,60.7,2.4,3.4,5.4,3.2,80.6,15.4831139679625
74.1,202.0,91.5,1.4,18.7,0.9,8.0,70.5,22.4242721301833
88.7,181.0,79.4,1.8,4.5,0.3,12.4829548229548,87.7,24.236134428131
86.8,196.0,96.9,2.0,12.4,3.9,5.1,84.3,25.2238650562266
76.7,172.0,107.4,3.1,9.6,3.5,10.5,73.9,36.3034072471606
84.5,178.0,56.0,3.2,13.8,0.8,6.8,83.2,17.6745360434289
80.4,184.0,51.0,1.5,1.1,0.5,5.8,80.2,15.0637996219282
81.8,172.0,98.8,3.0,3.7,5.0,9.2,81.6,33.3964305029746
75.5,171.0,97.9,1.3,7.6,0.3,2.3,73.7,33.4803871276632
91.4,188.0,97.6,1.3,14.1,4.3,6.7,88.0,27.6143051154368
93.7,192.0,64.5,2.6,18.4,5.1,6.3,89.6,17.4967447916667
86.2,197.0,97.5,3.6,1.0,4.1,3.2,86.9,25.1230384704579
82.6,200.0,102.7,1.7,10.1,2.7,2.3,81.0,25.675
71.6,191.0,110.5,4.95212454212454,12.7,3.6,3.7,72.2,30.289739864587
75.9,187.0,66.0,2.0,16.1,4.2,8.2,70.8,18.8738597043095
93.2,163.0,112.5,4.7,12.8,0.7,7.0,89.8,42.3425796981445
86.0,167.0,119.1,3.3,20.2,0.4,6.2,79.9,42.7050091433899
83.8,199.0,57.3,1.8,0.1,1.1,3.2,84.0,14.4693315825358
84.3,170.0,108.9,3.5,18.6,1.0,4.5,79.2,37.681660899654
90.5,179.0,65.5,2.1,11.8,0.9,0.8,86.5,20.4425579725976
75.7,203.0,60.8,2.5,17.9,0.8,6.2,71.9,14.7540585794365
92.1,192.0,83.3,1.6,21.6,0.2,8.7,85.6,22.5965711805556
73.0,191.0,82.9,2.6,10.7,0.1,7.0,71.1,22.7241577807626
77.0,179.0,138.8,2.6,21.6,0.2,4.4,72.5,43.3194968946038
81.1,173.0,53.9,1.9,0.2,5.0,8.9,81.0,18.0092886498045
92.6,201.0,108.7,2.3,12.2,3.5,11.9,90.0,26.9052746219153
85.5,209.0,74.6,0.5,20.7,3.8,2.4,77.4,17.0783635905771
80.0,184.0,118.0,2.4,15.3,0.9,9.1,77.0,34.8534971644612
84.6,187.0,62.3,2.3,19.9,0.5,7.7,80.0,17.8157796905831
76.2,175.0,59.1,1.8,17.5,0.4,6.0,72.6,19.2979591836735
84.0,191.0,69.0,1.9,13.0,5.3,8.3,79.4,18.9139552095611
85.3,178.0,103.3,0.7,9.9,0.9,12.2,82.2,32.603206665825
77.2,175.0,106.5,3.3,19.0,1.7,9.1,72.5,34.7755102040816
68.6183516483517,190.0,50.5,1.0,7.4,2.3,4.5,64.8674157303371,13.98891966759
80.1,193.0,79.0,2.5,15.4,4.2,5.7,75.5,21.2086230502832
83.7,204.0,129.2,1.8,6.3,4.2,2.8,82.6,31.0457516339869
84.8,183.0,108.4,4.6,11.3,0.4,7.2,83.3,32.3688375287408
92.7,175.0,122.6,1.8,0.0,0.8,4.0,92.0,40.0326530612245
79.8,172.0,148.5,2.3,5.4,0.7,9.7,75.8,46.1016058693084
75.9,206.0,83.8,2.1,3.0,0.4,2.6,77.2,19.7473842963522
85.0,166.0,90.1,3.1,18.1,0.2,3.6,82.4,32.6970532733343
91.5,177.0,107.1,3.7,14.1,3.2,3.1,89.6,34.1855788566504
86.1,182.0,66.3,3.9,0.9,0.2,3.1,88.7,20.0156985871272
77.3,193.0,114.8,2.1,8.2,0.9,9.0,74.7,30.8196193186394
81.3,175.0,50.4,2.3,13.2,1.7,11.8,78.8,16.4571428571429
83.5,177.0,63.8,4.2,4.5,0.7,2.3,85.6,20.364518497239
83.6,200.0,107.2,1.8,0.4,1.0,9.3,84.2,26.8
78.8,181.0,94.4,3.7,16.8,5.3,2.3,73.6,28.8147492445286
81.1,175.0,51.4,0.5,9.8,4.1,2.9,78.3,16.7836734693878
78.0,185.0,72.9,3.1,4.4,3.7,12.2,78.6,21.300219138057
68.6183516483517,181.0,98.8,1.5,12.2,0.7,5.7,64.8674157303371,30.1578095906718
78.6,179.0,52.9,3.6,4.5,0.4,2.8,79.3,16.5100964389376
85.5,196.0,131.7,1.9,11.3,1.5,8.3,81.6,34.2825905872553
83.2,191.0,73.5,2.8,15.3,0.4,1.2,80.2,20.147474027576
91.0,183.0,63.3,1.0,13.9,4.9,8.8,86.9,18.901728925916
78.2,172.0,76.0,2.1,12.5,2.4,8.6,76.3,25.6895619253651
77.3,189.0,128.9,4.5,0.1,1.0,5.4,79.5,36.0852159793959
78.7,201.0,68.3,2.3,16.4,0.7,7.0,75.6,16.9055221405411
95.9183516483517,188.0,105.9,0.8,0.1,4.6,8.0,95.4674157303371,29.9626527840652
79.3,191.0,61.8,4.5,7.6,3.9,9.1,78.5,16.9403251007374
72.4,166.0,125.2,1.4,19.5,1.7,7.9,65.3,45.4347510524024
80.8,170.0,94.3,1.1,15.8,1.6,4.5,77.0,32.6297577854671
77.8,168.0,112.1,0.7,17.7,0.3,10.0,72.1,39.717970521542
91.1,166.0,64.2,2.7,1.4,2.2,5.9,92.2,23.298011322398
75.0,199.0,136.9,1.5,10.5,4.2,3.9,71.9,34.5698340950986
79.3,179.0,68.2,2.9,17.9,4.0,3.7,72.8,21.285228301239
76.3,194.0,70.6,1.4,17.1,0.5,11.6,73.1,18.7586353491338
75.3,199.0,105.8,2.8,8.5,2.9,7.8,73.5,26.7164970581551
68.6183516483517,186.0,79.3,2.4,0.8,0.4,5.1,69.6,22.9217250549196
87.7,192.0,91.2,2.6,9.6,2.0,9.3,85.8,24.7395833333333
68.6183516483517,174.0,101.9,1.8,2.6,5.1,4.1,64.8674157303371,33.6570220636808
75.3,180.0,84.3,3.4,5.9,1.0,3.6,75.6,26.0185185185185
74.0,178.0,68.4,1.4,7.4,2.4,5.6,72.3,21.5881833101881
80.7,172.0,138.2,4.3,5.8,4.3,4.8,78.8,46.1016058693084
81.8,187.0,57.9,2.9,20.6,0.3,4.2,78.2,16.5575223769625
81.8,181.0,118.6,2.4,13.3,4.4,3.5,77.2,36.2015811483166
81.7,184.0,79.0,2.3,11.7,2.9,5.6,78.7,23.3341209829868
80.1,175.0,110.0,3.1,13.9,0.8,10.4,77.8,35.9183673469388
81.7,181.0,94.4,1.6,7.6,2.4,8.7,79.2,28.8147492445286
86.5,170.0,83.6,1.3,0.1,2.8,2.5,87.2,28.9273356401384
95.9183516483517,186.0,83.9,1.1,18.1,0.5,7.6,91.9,24.2513585385594
83.1,171.0,103.5,4.5,0.9,5.6,4.1,83.8,35.3955063096337
73.1,169.0,79.1,3.1,16.4,5.2,6.6,68.1,27.6951087146809
78.8,187.0,69.9,4.4,1.2,5.2,3.1,81.6,19.9891332322915
82.2,189.0,90.3,3.4,14.8,0.6,8.0,81.2,25.2792475014697
91.3,181.0,88.0,1.5,2.0,1.1,11.2,90.8,26.8612069228656
75.9,176.0,89.2,2.4,17.6,0.6,11.2,71.5,28.7964876033058
81.8,181.0,151.330941621886,1.2,9.4,5.6,3.1,76.8,46.1016058693084
80.2,187.0,66.5,1.2,4.5,2.1,5.9,79.1,19.0168434899482
74.9,210.880283410701,113.0,2.5,19.3,1.5,9.0,71.5,25.3812807439186
94.7,187.0,57.8,3.7,3.3,3.1,7.8,95.4,16.5289256198347
72.2,207.0,113.0,1.5,10.6,5.4,6.3,69.1,26.3716772853509
84.1,195.0,68.6,2.0,0.2,1.1,2.2,85.6,18.0407626561473
81.0,185.0,67.7,2.7,19.8,0.7,8.4,76.9,19.7808619430241
91.9,164.0,75.0,3.0,2.4,3.9,3.2,92.2,27.8851873884593
89.4,164.0,121.6,1.9,5.1,3.7,6.4,86.3,45.2111838191553
83.8,199.0,99.2,2.3,4.3,1.1,8.4,83.5,25.0498724779677
80.3,187.0,105.6,2.0,13.0,0.2,3.1,77.0,30.1981755268952
75.3,187.0,110.9,1.7,20.7,0.4,3.6,69.4,31.7138036546656
72.3,175.0,69.4,4.1,12.0,3.2,6.2,73.1,22.6612244897959
84.2,183.0,88.8,2.2,0.5,1.9,7.6,84.3,26.5161694884888
94.1,196.0,128.7,2.7,4.5,0.5,7.6,93.2,33.5016659725115
72.5,192.0,89.3,4.5,17.1,0.8,3.5,71.5,24.2241753472222
95.9183516483517,187.0,108.0,2.6,16.9,3.9,8.0,92.6,30.884497697961
78.2,184.0,124.3,1.1,5.9,0.5,1.8,76.2,36.7143194706994
76.5,172.0,53.4,1.0,17.5,0.8,3.0,71.5,18.0502974580855
74.3,186.0,61.3,2.2,9.7,1.4,4.0,72.9,17.7188114232859
85.7,156.880283410701,105.7,1.9,9.0,3.5,3.2,82.0,43.9958376690947
81.1,191.0,84.0,0.9,7.4,4.2,7.8,79.3,23.025684602944
68.6183516483517,169.0,108.0,1.5,10.2,5.2,1.6,64.8674157303371,37.8138020377438
86.7,184.0,103.9,3.6,6.6,2.5,8.2,85.0,30.6887996219282
81.2,202.0,117.1,1.9,11.2,1.7,3.4,78.9,28.6981668463876
78.7,185.0,65.8,2.8,17.7,0.1,6.3,75.9,19.2257121986852
88.0,180.0,72.4,2.1,19.8,0.8,6.9,81.6,22.3456790123457
84.6,172.0,88.8,1.4,6.9,5.7,8.3,80.8,30.0162249864792
80.5,186.0,53.6,1.7,2.2,0.8,8.4,80.2,15.493120591976
82.0,191.0,127.9,3.2,16.6,3.5,2.5,79.0,35.0593459609112
80.2,177.0,97.7,2.3,7.5,0.6,5.5,78.7,31.1851639056465
77.6,197.0,89.7,1.3,3.8,4.4,7.1,75.7,23.1131953928213
81.3,156.880283410701,76.6,0.5,2.4,5.3,5.2,78.5,31.4760026298488
75.8,189.0,95.3,2.8,2.0,4.9,3.8,76.7,26.678984350942
81.5,196.0,77.4,2.6,18.1,0.1,4.5,78.3,20.1478550603915
68.6183516483517,186.0,96.4,2.8,1.5,5.1,5.0,68.2,27.8644930049717
91.7,177.0,113.5,2.1,22.1,3.6,3.1,85.3,36.2284145679722
81.7,189.0,115.7,0.2,14.6,2.1,7.5,77.0,32.389910696789
72.3,205.0,74.4,1.2,4.3,1.1,8.8,71.5,17.703747769185
75.2,196.0,54.5,3.1,2.5,4.3,8.7,76.6,14.1867971678467
95.9183516483517,164.0,92.7,2.6,18.5,1.3,2.9,95.4674157303371,34.4660916121356
83.9,203.0,93.5,3.3,6.8,0.0,9.2,84.3,22.6892183746269
95.9183516483517,173.0,97.4,1.8,16.0,1.0,5.7,95.4674157303371,32.5436867252498
69.1,192.0,114.4,1.1,2.1,2.8,5.4,67.7,31.0329861111111
82.6,183.0,101.2,3.6,19.9,0.4,6.2,78.3,30.2188778404849
75.1,168.0,87.5,2.0,4.5,1.9,9.0,73.8,31.0019841269841
91.9,200.0,91.2,1.3,7.9,3.7,4.1,88.3,22.8
90.3,166.0,131.6,2.2,2.0,3.4,2.3,87.9,46.1016058693084
81.9,182.0,54.6,0.4,11.7,1.0,3.3,78.5,16.4835164835165
84.8,180.0,143.5,0.8,4.4,4.6,4.2,81.0,44.2901234567901
95.9183516483517,199.0,114.7,3.1,7.8,2.2,6.4,95.4674157303371,28.9639150526502
86.7,199.0,75.0,1.1,17.4,5.4,3.8,78.9,18.9389156839474
78.7,187.0,58.4,2.1,14.2,1.4,7.9,76.2,16.7005061626012
90.8,187.0,88.0,1.0,5.2,4.3,4.5,87.9,25.1651462724127
68.6183516483517,181.0,92.1,1.1,4.5,4.4,4.2,64.8674157303371,28.1126949726809
80.1,161.0,114.1,2.8,19.0,1.1,8.6,74.5,44.0183634890629
81.6,179.0,57.6,1.7,9.4,0.4,5.7,80.6,17.9769670110171
83.0,210.880283410701,65.4,1.1,17.7,0.4,5.2,78.6,14.6896969969228
73.0,171.0,112.1,2.1,3.8,0.1,10.1,71.8,38.3365821962313
75.2,198.0,85.1,3.8,17.6,0.3,5.7,75.9,21.7069686766656
80.1,191.0,98.5,4.0,12.9,0.2,6.8,78.5,27.0003563498808
74.8,180.0,112.0,1.8,16.6,1.6,3.3,70.6,34.5679012345679
95.9183516483517,188.0,95.2,3.7,12.7,0.7,4.0,95.4674157303371,26.935264825713
77.9,179.0,98.8,2.1,4.0,4.3,3.8,77.9,30.8354920258419
68.6183516483517,170.0,71.7,2.9,20.6,0.5,5.6,64.8674157303371,24.8096885813149
91.1,200.0,97.0,2.3,6.4,5.5,9.4,89.0,24.25
81.6,172.0,77.5,4.9,18.2,3.2,8.7,81.7,26.1965927528394
83.4,191.0,84.4,3.3,21.6,2.9,6.4,80.4,23.1353307201009
79.0,187.0,50.4,2.1,1.1,0.4,3.3,79.8,14.4127655923818
85.8,179.0,141.5,4.95212454212454,14.7,2.2,3.9,83.8,44.1621672232452
74.5,166.0,67.9,2.7,4.5,4.4,2.8,74.5,24.6407316011032
75.4,170.0,90.9,3.9,19.5,0.5,9.7,71.6,31.4532871972318
91.0,190.0,139.4,1.7,0.5,0.7,9.5,90.0,38.6149584487535
76.8,205.0,110.6,4.1,12.2,4.6,6.8,75.9,26.3176680547293
83.5,175.0,115.7,1.7,14.4,5.0,5.4,78.5,37.7795918367347
92.5,180.0,63.7,1.9,18.8,0.8,4.2,88.8,19.6604938271605
81.8,173.0,95.5,0.4,17.6,1.2,9.3,78.5,31.9088509472418
95.4,173.0,86.0,0.9,10.5,0.6,6.0,93.2,28.734672057202
83.9,196.0,77.3,4.1,14.4,4.7,2.6,81.8,20.1218242399
75.1,158.0,114.2,1.0,5.3,0.3,3.8,71.6,45.7458740586444
79.4,172.0,67.1,1.2,16.2,2.1,4.1,72.7,22.6811790156842
92.7,204.0,106.8,3.3,2.8,0.2,5.0,93.4,25.6632064590542
82.8,182.0,84.7,2.1,17.5,4.7,6.0,77.5,25.570583262891
90.8,173.0,76.4,3.3,6.7,1.5,4.0,90.8,25.5270807577934
83.5,207.0,64.7,3.4,0.7,2.2,4.6,85.0,15.0995355784266
89.6,173.0,82.8,2.7,10.6,4.8,10.1,87.2,27.6654749573992
74.3,179.0,84.4,1.7,4.3,5.2,2.0,72.8,26.3412502730876
72.7,179.0,87.8,1.6,2.4,0.8,9.8,72.3,27.4023906869324
87.1,175.0,87.5,1.1,8.3,3.6,2.0,85.6,28.5714285714286
72.4,183.0,83.7,3.2,0.9,0.5,10.0,74.0,24.9932813759742
94.3,176.0,90.6,1.9,14.8,5.0,10.8,87.9,29.2484504132231
86.6,195.0,57.3,1.9,3.1,4.1,4.6,86.5,15.069033530572
89.6,186.0,102.1,3.5,16.7,1.3,8.7,87.1,29.5120823216557
83.8,188.0,63.2,4.95212454212454,14.9,5.0,2.4,81.6,17.8813942960616
79.1,198.0,97.5,3.9,16.2,0.9,9.5,76.5,24.8699112335476
89.8,190.0,53.2,2.6,14.0,0.6,7.4,89.0,14.7368421052632
83.8,175.0,121.5,3.0,1.4,5.6,9.0,81.0,39.6734693877551
76.5,197.0,50.9,3.7,9.5,1.0,9.4,75.3,13.1155144425262
83.0,195.0,151.330941621886,2.4,4.9,5.7,8.3,80.2,42.577251808021
88.3,174.0,69.9,2.4,0.3,2.1,3.7,89.9,23.0875941339675
95.9183516483517,205.0,77.5,1.3,5.1,3.5,6.3,95.4674157303371,18.4414039262344
82.9,184.0,61.6,1.4,6.2,0.7,2.6,81.4,18.1947069943289
80.6,188.0,105.3,4.95212454212454,20.2,0.3,4.0,78.9,29.7928927116342
68.6183516483517,177.0,77.1,3.2,3.9,3.2,10.7,66.9,24.6097864598295
88.0,182.0,73.9,4.2,9.5,0.4,6.9,88.1,22.3101074749426
88.5,180.0,128.7,3.6,17.4,1.9,12.4829548229548,84.1,39.7222222222222
93.3,180.0,124.8,3.6,0.7,2.4,6.1,92.6,38.5185185185185
78.4,188.0,132.3,2.8,13.3,4.5,4.8,75.9,37.4320959710276
78.9,175.0,63.0,3.4,0.9,3.5,9.3,81.0,20.5714285714286
91.4,171.0,50.9,1.8,18.5,0.3,2.7,86.8,17.4070654218392
82.7,189.0,85.9,2.8,0.4,0.7,9.3,84.1,24.0474790739341
84.4,178.0,80.6,1.9,2.6,3.9,7.1,84.2,25.4387072339351
79.5,198.0,106.8,0.7,2.7,1.3,5.8,78.2,27.2421181512091
89.2,192.0,145.3,2.6,14.2,2.0,11.6,84.5,39.4151475694444
76.1,184.0,139.8,0.2,12.7,2.8,8.4,69.9,41.2925330812855
93.0,187.0,87.6,0.8,3.2,0.3,4.4,92.4,25.0507592439017
73.1,187.0,97.7,2.3,5.8,1.2,2.7,72.3,27.9390317138037
77.2,192.0,75.8,0.5,4.7,1.3,3.8,76.0,20.5620659722222
83.2,178.0,96.4,1.6,17.6,1.2,7.8,78.4,30.4254513319025
